     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5393,       470,         0,   0.010,pymatching,48b971af3feb11ffc89f550226b0b497f340728500b2e9a5d9f00de015ad6900,"{""config"":[""X+"",""X""],""d"":3,""p"":0.006802564102564103}",
     34065,         0,         0,   0.009,pymatching,671c9a77ed6b6e120ba75622c9705cbf194dd69b79484be4b9712ed913a38056,"{""config"":[""X+"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
      9216,       592,         0,   0.014,pymatching,a0fb4339db78eeeba268ddd75c19a1adf918587de05ec1e2b59d366df6104734,"{""config"":[""X+"",""X""],""d"":3,""p"":0.005733333333333333}",
     12288,       954,         0,   0.020,pymatching,794ab4af9ff44ca07e46614bc004f08a44c7b2219a07b585704586fc4cce3368,"{""config"":[""X+"",""X""],""d"":3,""p"":0.006446153846153846}",
     13585,       141,         0,   0.010,pymatching,5584bc01a19e44a12a719483e840994524a6844e49352d1c9b162c781acc1c1c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.002169230769230769}",
     46080,         8,         0,   0.013,pymatching,01113664a21febd5f19200af16dc8416960cf6c5d39b36bd52b879cad24116c4,"{""config"":[""X+"",""X""],""d"":3,""p"":0.00021544346900318823}",
      4369,       520,         0,   0.011,pymatching,ad4f71ab949fa1c72186ee23ab7c073c5fa1003cd074548c8df7aa96e1a8021c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.008584615384615385}",
     34065,         0,         0,   0.009,pymatching,39658c6ee0aaa21d807e676ac181201e8d7949ed24bc0fb2f18e7c598b7fc9c1,"{""config"":[""X+"",""X""],""d"":3,""p"":2.782559402207126e-05}",
      6417,       383,         0,   0.010,pymatching,5101302639230619ef46628807cadb7ac01120898d68960675e203426dc1857a,"{""config"":[""X+"",""X""],""d"":3,""p"":0.005376923076923077}",
      5393,       476,         0,   0.011,pymatching,a6dcb7083322f5e6b2f54b2914b4b0c9eed40707e166083a55eea3690f208e4c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.007158974358974359}",
      8465,       283,         0,   0.010,pymatching,bed9b6174738be7b334637c393ef023bd89949db6f0ba22ef3f13430b6b9553c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.003951282051282051}",
     18432,       237,         0,   0.014,pymatching,08aeeebb1537dff8c544387c30fd364597ec25dc6f8f43565c297efc5e5d1374,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0025256410256410257}",
     45056,       360,         0,   0.027,pymatching,538c9ffd2c0852ab009494fa1a0611514a62eeb76a7fcf70e3261359a524110d,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0018128205128205128}",
     44032,       111,         0,   0.019,pymatching,c7599e1708ded73aa49475cae3b41e04f17636c26249e838109a5d350b866a9d,"{""config"":[""X+"",""X""],""d"":3,""p"":0.001}",
     17681,        93,         0,   0.010,pymatching,68daa6afcb245582ca0fa5812c90fa126e427597e27ae0a4851fc73676c71f9c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0014564102564102565}",
     43008,       102,         0,   0.019,pymatching,ee0622b06f1c15b2679bb2d0e504f7dd23d008168a1cbaa77d7b2092f6c7e89a,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0011}",
     34065,         0,         0,   0.009,pymatching,b3d9e983040a23c4fa89c3e592a5ca3dfd5fa0fd6b8cc5bb9e425464f561597a,"{""config"":[""X+"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      7168,       713,         0,   0.015,pymatching,09fd2e5ba08837ad08ae6b45a1a48a80862fc4b6f6fbca8ac79e30d5ee618f9a,"{""config"":[""X+"",""X""],""d"":3,""p"":0.007871794871794872}",
      7168,       814,         0,   0.015,pymatching,8b6543409dc95fc0a4c9489a86d52d6071afe268fe37aa7bd98d30db9eadb8b3,"{""config"":[""X+"",""X""],""d"":3,""p"":0.008228205128205128}",
      7441,       365,         0,   0.011,pymatching,8b22c53f5a500f3e626d406aab033e89e649b9142b12ea9b6abe96449409494c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.00502051282051282}",
      5393,       491,         0,   0.011,pymatching,c3fb9d5f652f06d89a4c36a4a48da42873d060b6df523881809c6276f5ab9213,"{""config"":[""X+"",""X""],""d"":3,""p"":0.007515384615384615}",
     23552,       427,         0,   0.019,pymatching,2a71d7bae26df419664846b1899cec2136bd4edc76339128bd700eadfb4a8452,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0028820512820512817}",
     11264,       471,         0,   0.014,pymatching,fe2f4cb570f063ee96294dfdf9714a2d83257b58ee1964490e6871c8d9f71305,"{""config"":[""X+"",""X""],""d"":3,""p"":0.004664102564102564}",
     19456,       546,         0,   0.019,pymatching,6e935904e58d6c32b461332bbd1e0b32aa9fc4fa7080d3c6b9712fc37effabb2,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0035948717948717946}",
     27921,        17,         0,   0.009,pymatching,27672fec3e2cf8a05203655a9b66b2fe0d08dfdb47217bf8f655ac9b97694a96,"{""config"":[""X+"",""X""],""d"":3,""p"":0.00035938136638046257}",
      8465,       297,         0,   0.010,pymatching,4ae1303728e2890f8eb989858501f277a3dfe036b6c49bb26d99f6204be3f563,"{""config"":[""X+"",""X""],""d"":3,""p"":0.0043076923076923075}",
      8192,       647,         0,   0.015,pymatching,48b971af3feb11ffc89f550226b0b497f340728500b2e9a5d9f00de015ad6900,"{""config"":[""X+"",""X""],""d"":3,""p"":0.006802564102564103}",
     10513,       256,         0,   0.010,pymatching,56b9a6c9109de28a8a1bac24e25b8713c2f3ceb2376db5def4c0d4f1363e8349,"{""config"":[""X+"",""X""],""d"":3,""p"":0.003238461538461538}",
     52224,         0,         0,   0.013,pymatching,671c9a77ed6b6e120ba75622c9705cbf194dd69b79484be4b9712ed913a38056,"{""config"":[""X+"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
     72704,         0,         0,   0.018,pymatching,8ecceb67bb963f1caaa45b60bebc85662877c6dbf3399ef547315231941322fa,"{""config"":[""X+"",""X""],""d"":3,""p"":1e-05}",
     20480,       204,         0,   0.014,pymatching,5584bc01a19e44a12a719483e840994524a6844e49352d1c9b162c781acc1c1c,"{""config"":[""X+"",""X""],""d"":3,""p"":0.002169230769230769}",
