     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     11264,         0,         0,   0.027,pymatching,89a73c3c8a4f3465bd03e91b13f488219e44b36310b3867f554de7104367976b,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":1.6681005372000593e-05}",
     11264,         0,         0,   0.028,pymatching,b267d7b715e76fc0911873c0320e3a8041e0a4bc9767438a075c93c9a54c62a9,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":4.641588833612782e-05}",
      6144,         2,         0,   0.016,pymatching,adebeaa567a1dccb57f5b219c415e3bc4a91af6d64c05f33133359034fe4dbca,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.00021544346900318823}",
      3072,        18,         0,   0.014,pymatching,526dde49b65b6b65afad7a8c5b8cccfffe08c6fd699ac39905869e156b180f36,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0014564102564102565}",
      8192,         0,         0,   0.020,pymatching,6b316e7230fdd91288fd40d5acfe74e3b2b916d0a985d20dcb401c0f8359e1a2,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":1e-05}",
      1297,        77,         0,   0.014,pymatching,e2fb91d97cd03ad896e1c6ff1d6ff84d51a04f5ea1cc06be0fbaf3b30ecbaaaf,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.00502051282051282}",
      7168,         1,         0,   0.021,pymatching,34ad98a8aea5b0403d7f98199945e96fe140771e7d5a52e7303b12d7440f38bf,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.00035938136638046257}",
      1297,        50,         0,   0.014,pymatching,ccd52bcb21c5c950cc4f8c194fdda96369ed350c3331c0149cf40ec15871f4f7,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.004664102564102564}",
      1297,       275,         0,   0.028,pymatching,dbd6ffdd60c3be86d28a3917b93b1dc76be23f766adae43b44683016d84d3352,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.011435897435897435}",
      6144,         2,         0,   0.021,pymatching,51ebdf1e7c5092fe16d3091f68ee6514a0dc111f66710e1b93b7fc580553cdc3,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0005994842503189409}",
      3072,        26,         0,   0.017,pymatching,e9fbfc7f69d96454ac17552ef141f9bcc80449c7b39a24ba87384b3c45ab2662,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.002169230769230769}",
      4096,        45,         0,   0.024,pymatching,0e2c433d9e1bc637cd10e89068292ffbddb5830e49255f5cc7bc8c14b6c2b115,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0025256410256410257}",
      7168,        21,         0,   0.028,pymatching,9b08cdf11fe19ab87e9b67835a0adb3e908b4761106ccd72a132fa6089f224c7,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0011}",
      8192,        56,         0,   0.039,pymatching,31bb4461424784ce82816efd888f7e6eea2d57379180a732fddaae13e89330f7,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.0018128205128205128}",
      1024,       215,         0,   0.023,pymatching,411dafd3d911f3b60bd5dfed185b447e5b551325b493cc7caf646bd59d276b36,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":0.012148717948717948}",
     10240,         0,         0,   0.027,pymatching,d87c94477828d77ff0f88c9f45997a471044a8d226c8157b34bab5c8de2cbec9,"{""config"":[""I0"",""X+"",""I"",""X""],""d"":3,""p"":7.742636826811278e-05}",
